"","Full.Name","GICS.Sector","GICS.Sub.Industry","environmentScore","socialScore","governanceScore","totalEsg","highestControversy","percentile","ratingYear","ratingMonth","marketCap","beta","overallRisk","avg_price","total_return","avg_log_return","volatility","max_drawdown"
"A","Agilent Technologies","Health Care","Life Sciences Tools & Services",1.12,6.42,6.1,13.64,"2",7.98,2023,9,39751831552,1.054,"8",131.894090807609,-4.74539818434233,-0.000116587194539665,12.7599165856531,-36.3950712172765
"AAL","American Airlines Group","Industrials","Passenger Airlines",9.94,11.65,4.76,26.35,"2",54.48,2023,9,7335383552,1.433,"10",13.9095932787115,-16.6405017554644,-0.000436469129833567,2.03639219648252,-50.7446776347334
"AAPL","Apple Inc.","Information Technology","Technology Hardware, Storage & Peripherals",0.46,7.39,9.37,17.22,"3",17.82,2023,9,3296096681984,1.24,"1",181.327033558531,83.0974658661303,0.00145047584036802,21.5429435134494,-46.759222918152
"ABBV","AbbVie","Health Care","Biotechnology",2.38,17.19,10.36,29.93,"3",68.62,2023,9,341698445312,0.619,"6",157.908420800022,20.8954253328592,0.000455049718174759,15.0091426889128,-32.9233143711375
"ABT","Abbott Laboratories","Health Care","Health Care Equipment",2.27,14.24,8.33,24.83,"3",48.27,2023,9,205534380032,0.722,"7",106.365933139929,3.3673980200336,7.94230857458873e-05,6.04929296512977,-25.4381587929561
"ACGL","Arch Capital Group","Financials","Property & Casualty Insurance",1.47,10.1,10.89,22.46,"2",37.87,2023,9,42855567360,0.596,"5",82.0579426414088,81.0598751129416,0.00142363931008121,11.8957126147868,-45.8307539965777
"ACN","Accenture","Information Technology","IT Consulting & Other Services",0.82,4.61,4.41,9.84,"2",2.63,2023,9,211116474368,1.239,"2",312.863756316701,26.5263079445521,0.000564220787765638,30.4311591202377,-36.3753855317923
"ADBE","Adobe Inc.","Information Technology","Application Software",1.94,5.99,5.15,13.08,"2",6.85,2023,9,231233028096,1.296,"1",493.143396623967,70.4885285087809,0.00127937128776632,87.0691813899037,-49.5021734807654
"ADI","Analog Devices","Information Technology","Semiconductors",9.27,6.68,6.98,22.92,"1",39.7,2023,9,111884697600,1.073,"9",192.743158185311,44.5614039701782,0.000883774993459572,19.0944495646309,-35.9388469527729
"ADM","Archer Daniels Midland","Consumer Staples","Agricultural Products & Services",16.64,10.15,5.01,31.79,"3",74.94,2023,9,28908466176,0.714,"4",70.843684310548,-31.9687667145649,-0.000923748856697404,9.7505244345279,-42.6882317974266
"ADP","Automatic Data Processing","Industrials","Human Resource & Employment Services",2.8,5.54,5.49,13.82,"1",8.36,2023,9,113942003712,0.802,"2",236.799067155026,16.094420352859,0.000357874442649039,14.7040163784574,-24.2542848322739
"ADSK","Autodesk","Information Technology","Application Software",3.68,8.19,4.89,16.76,"0",16.44,2023,9,57698152448,1.476,"2",221.122105393113,39.5625181823951,0.000799382431399662,21.3082453531711,-31.7271590202974
"AEE","Ameren","Utilities","Multi-Utilities",12.85,9.07,5.25,27.17,"2",57.57,2023,9,22804828160,0.458,"7",78.7009090076793,-6.75782107797683,-0.000167793772497646,6.17970341104184,-25.1652748233769
"AEP","American Electric Power","Utilities","Electric Utilities",12.66,8.1,5.38,26.14,"2",53.69,2023,9,55846035456,0.533,"2",85.7112917010294,5.70253597142407,0.000132994481442098,6.59841743773352,-29.9243528937096
"AES","AES Corporation","Utilities","Independent Power Producers & Energy Traders",13.26,8.18,5.26,26.69,"2",55.64,2023,9,13678178304,1.062,"4",19.4925597797741,-39.0608367526735,-0.00118775573929833,3.49819544230853,-55.7097134865219
"AFL","Aflac","Financials","Life & Health Insurance",0.3,9.14,8.9,18.33,"1",21.68,2023,9,61698056192,0.949,"6",78.6678949292197,54.1771413625088,0.00103820629247295,9.99119162295217,-44.5088788149911
"AIG","American International Group","Financials","Multi-line Insurance",1.65,9.67,12.86,24.18,"2",45.53,2023,9,47394791424,1.075,"2",65.0601674221349,22.4376333674048,0.000485447479581133,8.71973878269439,-41.4452454540262
"AIZ","Assurant","Financials","Multi-line Insurance",1.63,10.82,11.66,24.11,"2",45.18,2023,9,10138020864,0.563,"1",151.772823224227,54.2177242963798,0.00103883743906936,22.7447378441733,-46.5648103348509
"AJG","Arthur J. Gallagher & Co.","Financials","Insurance Brokers",0.09,10.92,10.15,21.16,"2",32.55,2023,9,65631498240,0.729,"7",230.230861499549,56.2373255936086,0.00107003832886671,26.5013094205663,-39.4708986209773
"AKAM","Akamai Technologies","Information Technology","Internet Services & Infrastructure",3,7.09,6.93,17.01,"1",17.19,2023,9,15044968448,0.676,"3",98.0761723495556,19.8540601092484,0.000434303719203784,13.1047055738477,-44.8644046432759
"ALB","Albemarle Corporation","Materials","Specialty Chemicals",15.39,4.85,6.33,26.57,"2",55.2,2023,9,10556814336,1.543,"7",162.913110395368,-57.9254079254079,-0.00207608187327358,54.3276669092946,-74.8922970854477
"ALL","Allstate","Financials","Property & Casualty Insurance",1.03,10.13,10.88,22.04,"2",36.23,2023,9,50315587584,0.477,"4",138.008564615934,38.2555227413565,0.000776818707704368,24.5245289263187,-46.4486085541607
"ALLE","Allegion","Industrials","Building Products",10.9,5.84,5.04,21.78,"0",35.28,2023,9,12491554816,1.123,"6",116.699999868585,28.9136492776444,0.000609047023478415,10.4059234156816,-30.7305876418917
"AMAT","Applied Materials","Information Technology","Semiconductor Materials & Equipment",4.49,2.97,5.28,12.74,"1",6.15,2023,9,155474345984,1.541,"1",160.820358513645,103.928447907674,0.00170887050546739,39.4708985011621,-62.0622022615109
"AME","Ametek","Industrials","Electrical Components & Equipment",8.65,8.51,6.73,23.9,"1",44.04,2023,9,39030026240,1.173,"8",157.929904335424,21.7264431049268,0.000471477389598709,13.0595553617957,-27.6729204237373
"AMGN","Amgen","Health Care","Biotechnology",0.73,13.48,7.75,21.96,"3",35.92,2023,9,178823086080,0.605,"2",270.847727798389,27.5864683200939,0.000584230531537127,32.4552370118845,-36.2234712938837
"AMP","Ameriprise Financial","Financials","Asset Management & Custody Banks",2.08,7.83,10.34,20.27,"2",28.96,2023,9,44403879936,1.346,"5",365.003205440832,44.6726315403773,0.000885619401535064,47.8253566625396,-37.3820774414775
"AMT","American Tower","Real Estate","Telecom Tower REITs",2.9,2.85,5.16,10.9,"1",3.52,2023,9,112249135104,0.83,"1",196.038803611646,4.37415543380147,0.000102666440043143,16.068798279891,-32.7991846718622
"AMZN","Amazon","Consumer Discretionary","Broadline Retail",6,15.39,9.22,30.61,"3",71.14,2023,9,1961417768960,1.146,"9",143.729402094937,107.993475454143,0.00175620269835087,31.8627613719336,-58.439998626709
"ANET","Arista Networks","Information Technology","Communications Equipment",0.4,8.88,7.39,16.67,"1",16.21,2023,9,113393524736,1.073,"10",222.270765861256,192.26697062251,0.00257193640655134,71.6483812043406,-70.4934390539131
"ANSS","Ansys","Information Technology","Application Software",3.51,7.32,5.07,15.89,"0",13.72,2023,9,27723399168,1.114,"2",313.491316142835,34.6882392934152,0.000714130895079954,24.0370631981117,-36.1634725585686
"AOS","A. O. Smith","Industrials","Building Products",7.15,11.87,6.42,25.44,"1",50.86,2023,9,11915595776,1.147,"10",75.1216505315315,42.0909772954288,0.000842439692184927,7.97326946031377,-37.1711254550949
"APA","APA Corporation","Energy","Oil & Gas Exploration & Production",21.98,8.88,7.96,38.81,"2",82.83,2021,3,9340100608,3.243,"9",35.4212201634092,-34.6859228135081,-0.00102149303551704,4.9699612528728,-40.9140591991305
"APD","Air Products","Materials","Industrial Gases",7.42,1.5,3.35,12.26,"1",5.41,2023,9,64722276352,0.828,"7",273.376148789693,-9.04198080648748,-0.0002272712552982,21.488330854015,-32.8008491715093
"APH","Amphenol","Information Technology","Electronic Components",7.32,4.64,7.6,19.57,"2",26.41,2023,9,77062520832,1.246,"8",48.8005741794714,76.5706691128662,0.00136343165905097,10.269401395959,-48.1820782378603
"APTV","Aptiv","Consumer Discretionary","Automotive Parts & Equipment",1.45,3.94,5.26,10.66,"1",3.23,2023,9,16498891776,1.793,"6",90.3021770459043,-23.0446464467048,-0.000628164883166715,14.5939711944238,-45.575685769868
"ARE","Alexandria Real Estate Equities","Real Estate","Office REITs",3.91,3.66,6.32,13.89,"0",8.53,2023,9,21814970368,1.173,"9",121.572966434168,-17.0286592266967,-0.00044766170193376,14.5951895341276,-46.3411780049058
"ATO","Atmos Energy","Utilities","Gas Utilities",14.83,13.42,6.36,34.61,"2",82.5,2023,9,21445437440,0.67,"8",115.948038311096,17.5719506125677,0.000388202172249178,4.73223549680128,-21.4012560664888
"AVB","AvalonBay Communities","Real Estate","Multi-Family Residential REITs",2.96,2.05,4.75,9.76,"1",2.56,2023,9,33116518400,0.986,"6",183.43313386908,39.7708951873307,0.000802960271475943,13.3839642265234,-31.7458865722992
